id,ime,fakulteta,univerza,predmeti,st_ocen,ocena

671,Janežič Ana,Fakulteta za farmacijo,Univerza v Ljubljani,[''],22,3.5

672,Janžič Andrej,Fakulteta za farmacijo,Univerza v Ljubljani,[''],7,1.9

673,Jeras Matjaž,Fakulteta za farmacijo,Univerza v Ljubljani,[''],65,4.7

674,Karas Kuželički Nataša,Fakulteta za farmacijo,Univerza v Ljubljani,['Celična biologija z genetiko'],55,4.1

675,Kerec-kos Mojca,Fakulteta za farmacijo,Univerza v Ljubljani,"['Biofarmacija s farmakokinetiko', 'Klinična farmacija']",32,4.2

676,Kikelj Danijel,Fakulteta za farmacijo,Univerza v Ljubljani,"['Analiza in nadzor zdravil', 'Farmacevtska kemija iv', 'Farmacevtska kemija II', 'Instrumentalna farmacevtska analiza', 'Načrtovanje in sinteza učinkovin']",132,3.5

677,Kmetec Vojko,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmacevtska informatika', 'Stabilnost zdravil']",53,2.5

678,Kokalj Meta,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmacevtska biologija z genetiko', 'Farmakognozija I']",41,3.7

679,Kos Janko,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmacevtska biokemija', 'Biokemija nastanka in napredovanja raka']",76,3.1

680,Kos Mitja,Fakulteta za farmacijo,Univerza v Ljubljani,[''],33,2.1

681,Kočevar Glavač Nina,Fakulteta za farmacijo,Univerza v Ljubljani,[''],26,4.3

682,Krbavčič Aleš,Fakulteta za farmacijo,Univerza v Ljubljani,[''],22,2.9

683,Kreft Samo,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmacevtska biologija z genetiko', 'Prehranska dopolnila', 'Zdravila v alternativni medicini']",281,4.3

684,Kristl Julijana,Fakulteta za farmacijo,Univerza v Ljubljani,"['Kozmetologija', 'Farmacevtska tehnologija I']",185,2.0

685,Kristl Albin,Fakulteta za farmacijo,Univerza v Ljubljani,"['Instrumentalna farmacevtska analiza', 'Farmacevtska tehnologija 2', 'Biomedicinska analitika', 'Celična biologija z genetiko']",235,1.5

686,Lavrič Zoran,Fakulteta za farmacijo,Univerza v Ljubljani,[''],26,2.5

687,Locatelli Igor,Fakulteta za farmacijo,Univerza v Ljubljani,['Farmacevtska informatika'],33,2.5

688,Marc Janja,Fakulteta za farmacijo,Univerza v Ljubljani,['Klinična kemija'],74,2.5

689,Mikuž Marko,Fakulteta za farmacijo,Univerza v Ljubljani,['Fizika'],94,3.8

690,Mitja Kos,Fakulteta za farmacijo,Univerza v Ljubljani,"['Socialna farmacija', 'Farmakoekonomika', 'Farmacevtsko trženje in upravljanje', 'Raziskovalne metode v socialni farmaciji', 'Uvod v farmacijo']",71,2.6

691,Mlinarič Raščan Irena,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmakogenomika in genska zdravila', 'Celična biologija z genetiko']",43,2.3

692,Mrhar Aleš,Fakulteta za farmacijo,Univerza v Ljubljani,"['Biofarmacija s farmakokinetiko', 'Klinična farmacija']",74,2.7

693,Obreza Aleš,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmacevtska kemija I', 'Farmacevtska kemija II', 'Uvod v farmacijo']",340,4.3

694,Peterlin Mašič Lucija,Fakulteta za farmacijo,Univerza v Ljubljani,"['Psihotropne učinkovine in zloraba zdravil', 'Toksikološka kemija', 'Analiza in nadzor zdravil']",40,4.1

695,Pečar Slavko,Fakulteta za farmacijo,Univerza v Ljubljani,['Farmacevtska kemija III'],104,4.5

696,Pečar Fonović Urša,Fakulteta za farmacijo,Univerza v Ljubljani,[''],15,4.5

697,Planinšek Odon,Fakulteta za farmacijo,Univerza v Ljubljani,"['Fizikalna farmacija', 'Farmacevtska tehnologija I']",6,3.3

698,Pohlen Mitja,Fakulteta za farmacijo,Univerza v Ljubljani,[''],7,4.4

699,Ravnikar Matjaž,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmakognozija', 'Biotehnologija']",41,4.4

700,Roškar Robert,Fakulteta za farmacijo,Univerza v Ljubljani,[''],31,3.8

701,Sollner Dolenc Marija,Fakulteta za farmacijo,Univerza v Ljubljani,[''],110,4.1

702,Sosič Izidor,Fakulteta za farmacijo,Univerza v Ljubljani,['Farmacevtska kemija III'],58,4.5

703,Srčič Stane,Fakulteta za farmacijo,Univerza v Ljubljani,"['Industrijska farmacija', 'Fizikalna farmacija', 'Instrumentalna farmacevtska analiza', 'Kakovost zdravil']",177,3.6

704,Tavčar Benković Eva,Fakulteta za farmacijo,Univerza v Ljubljani,[''],9,4.2

705,Tomašič Tihomir,Fakulteta za farmacijo,Univerza v Ljubljani,['Farmacevtska kemija III'],88,4.5

706,Umek Andrej,Fakulteta za farmacijo,Univerza v Ljubljani,[''],62,3.4

707,Učakar Tjaša,Fakulteta za farmacijo,Univerza v Ljubljani,[''],3,3.7

708,Vovk Tomaž,Fakulteta za farmacijo,Univerza v Ljubljani,"['Farmacevtska tehnologija 2', 'Biofarmacija s farmakokinetiko', 'Klinična farmacija']",15,4.3

709,Zega Anamarija,Fakulteta za farmacijo,Univerza v Ljubljani,"['Klinična biokemija', 'Instrumentalna farmacevtska analiza', 'Farmacevtska kemija III', 'Farmacevtska kemija I']",148,2.7

710,Zvonar Pobirk Alenka,Fakulteta za farmacijo,Univerza v Ljubljani,[''],1,4.0

711,Černe Darko,Fakulteta za farmacijo,Univerza v Ljubljani,"['Klinična kemija', 'Klinična biokemija']",61,2.3

712,Štrukelj Borut,Fakulteta za farmacijo,Univerza v Ljubljani,['Biotehnologija'],120,4.0

713,Štuhec Matej,Fakulteta za farmacijo,Univerza v Ljubljani,[''],47,2.9

714,škedelj Veronika,Fakulteta za farmacijo,Univerza v Ljubljani,[''],23,3.8

715,Žakelj Simon,Fakulteta za farmacijo,Univerza v Ljubljani,[''],22,3.8

716,Žerovnik Špela,Fakulteta za farmacijo,Univerza v Ljubljani,[''],9,3.7

717,Bratkovič Tomaž,Fakulteta za farmacijo,Univerza v Ljubljani,[''],13,4.5

718,Ambrožič Tomaž,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Detaljna izmera', 'Geodezija 1', 'Terenske vaje 1', 'Terenske vaje 2', 'Terestična detajlna izmera']",101,3.4

719,Andrej Kryzanowski,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Inženirska hidrotehnika', 'Hidrotehnični objekti', 'Vodne moči']",19,3.3

720,Antolinc David,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Stavbarstvo'],22,2.0

721,Bokan Violeta,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Gradiva'],47,3.1

722,Bosiljkov Vlatko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Stavbarstvo'],32,3.5

723,Brank Boštjan,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Ploskovne konstrukcije'],37,3.1

724,Bratina Sebastjan,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Masivni objekti'],41,2.9

725,Breznikar Aleš,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Inženirska geodezija'],49,1.0

726,Breška Zdenko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Inženirska matematika 1', 'Inženirska matematika 2']",97,3.5

727,Dolšek Matjaž,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Potresno inženirstvo - ii. stopnja', 'Dinamika gradbenih konstrukcij - ii. stopnja']",43,3.3

728,Drev Darko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],12,3.0

729,Ferlan Miran,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Zakonodaja upravljanja nepremičnin', 'Programska orodja v upravljanju nepremičnin', 'Avtomatska obdelava podatkov', 'Katastri nepremičnin', 'Zemljiški kataster 1', 'Zemljiški kataster 2', 'Geodetska zakonodaja']",71,2.1

730,Fischinger Matej,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Statika linijskih konstrukcij I'],62,3.5

731,Flajs Rado,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Trdnost', 'Nelinearna mehanika']",71,2.9

732,Foškki Mojca,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],10,2.2

733,Golja Aleš,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Telesna vzgoja'],104,4.0

734,Irena Kuharca,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],6,3.3

735,Juvanc Alojzij,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Ceste'],62,4.2

736,Klinc Robert,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Racunalnistvo'],15,2.9

737,Klopčič Jure,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Geotehnika', 'Mehanika tal']",43,2.8

738,Košir Mitja,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Stavbarstvo II'],97,2.0

739,Kramar Fijavž Marjeta,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Matematika', 'Matematika 3']",67,3.9

740,Krzyk Mario,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],11,3.2

741,Kuharca Irena,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],4,3.0

742,Lakner Mitja,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],69,3.6

743,Lampret Vito,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Matematika 1', 'Matematika 2']",162,2.8

744,Lopatič Jože,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Lesene konstrukcije', 'Betonske konstrukcije I']",60,1.7

745,Marjetič Aleš,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],4,3.2

746,Marolt Vid,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Računalništvo'],7,2.7

747,Mateja Kuharca,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],4,3.0

748,Maček Matej,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Mehanika tal in inženirska geologija'],19,1.9

749,Moze Primoz,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Jeklene konstrukcije'],11,3.5

750,Pavlovčič Prešeren Polona,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Izravnalni račun', 'Višja geodezija', 'Detajlna izmera', 'Gnss v geodeziji', 'Uvod v geodezijo', 'Fizikalna geodezija']",101,3.7

751,Peternelj Jožef,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Fizika I', 'Fizika II']",135,4.5

752,Petrovič Dušan,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Kartografija in topografija', 'Kartografija 1', 'Kartografija 2', 'Avtomatizirana kartografija', 'Kartografske projekcije']",56,2.7

753,Planinc Igor,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Statika'],116,4.1

754,Premus Mojca,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Matematika 2'],15,3.2

755,Saje Fanc,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Masivne konstrukcije II'],18,1.7

756,Saje Drago,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Masivne konstrukcije'],62,3.1

757,Savšek Simona,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],17,2.9

758,Srdic Aleksander,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Organizacija gradbenih del in poslovanje'],6,1.7

759,Srpčič Stanislav,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Trdnost', 'Mehanika trdnih teles']",109,4.2

760,Stankovski Vlado,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Racunalnstvo'],32,3.0

761,Turk Ziga,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],36,2.7

762,Založnik Aleš,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Matematočna analiza I'],101,2.7

763,Zavodnik Lamovšek Alma,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Načrtovanje rabe površin', 'Prostorsko planiranje', 'Razvoj in načrtovanje v prostoru']",50,2.1

764,Zupan Dejan,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Statika'],139,4.0

765,Čertanc Niko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],61,4.3

766,Šubic Kovač Maruška,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Vrednotenje nepremičnin in cenilstvo', 'Urejanje prostora']",157,3.5

767,štukovnik Petra,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Gradiva vaje', 'Trdnost']",63,2.3

768,Žarnič Roko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Gradiva'],33,3.4

769,Cerovšek Tomo,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Inženirska komunikacija', 'Inženirska komunikacija']",104,3.4

770,Dretnik Lovro,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Pms'],58,4.0

771,Isaković Tatjana,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Sgk'],31,3.1

772,Jagličić Zvonko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Fizika', 'Fizika']",62,3.3

773,Rakar Albin,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Kggz', 'Kggz']",60,2.9

774,Grilc Viktor,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Gospodarjenje z odpadnimi snovmi'],19,4.4

775,Kogoj Dušan,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Geodezija', 'Geodezija']",60,3.1

776,Kompare Boris Kompare,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Osnove čiščenja voda'],14,3.9

777,Logar Janko,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,[''],12,4.2

778,Peternelj Jože Peternelj,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Fizika 1'],20,4.6

779,Robas Alenka,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Mehanika tal', 'Zemeljska dela']",9,2.8

780,Saje Miran,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Osnove mehanike', 'Nelinearna mehanika', 'Osnove mehanike', 'Nelinearna mehanika']",34,4.1

781,Saje Franc,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Osnove gradbenih konstrukcij'],13,2.4

782,Toman Mihael Jožef,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Osnove vodne mikrobilogije'],25,4.4

783,Turk Goran,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Statistika z elementi informatike', 'Statistika z elementi informatike']",46,3.3

784,Škapin-rugelj Marjeta,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Matematika 1', 'Matematična analiza 3']",28,3.8

785,Šraj Mojca,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,['Hidrologija 1'],35,3.8

786,Žagar Dušan,Fakulteta za gradbeništvo in geodezijo,Univerza v Ljubljani,"['Hidravlika', 'Hidravlika', 'Hidravlika', 'Hidravlika']",80,4.199999999999999

787,Berovič Marin,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],39,2.6

788,Bešter Rogač Marija,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],85,2.3

789,Bukovec Nataša,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Splošna in anorganska kemija', 'Anorganska kemija']",191,2.1

790,Cerar Janez,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Praktikum iz fizikalne kemije'],43,1.8

791,Cerc - Korošec Romana,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Praktikum iz splošne in anorganske kemije'],141,3.2

792,Cigič Kralj Irena,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Analizna kemija - vaje'],106,3.1

793,Cimprič Jaka,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Matematika 2'],85,1.8

794,Dolinar Marko,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Molekularne osnove ved o življenju', 'Molekularna biologija', 'Molekulsko kloniranje', 'Molekularna biotehnologija', 'Sintezna biologija']",177,3.4

795,Glažar Saša Aleksij,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],26,2.7

796,Golob Janvit,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Kemijsko inženirstvo I', 'Separacijski procesi']",69,2.3

797,Gooobič Amalija,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Zgradba in lastnosti trdnin', 'Praktikum iz splošne in anorganske kemije']",49,3.6

798,Gros Nataša,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],27,2.7

799,Gruden Kristina,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Rastlinska biokemija'],11,3.1

800,Gunčar Gregor,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Biološka kemija', 'Biokemija', 'Molekularna imunologija z imunokemijo']",216,4.2

801,Hribar Lee Barbara,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],161,2.8

802,Iskra Jernej,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Organska kemija I'],23,4.0

803,Jamnik Andrej,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],121,2.9

804,Kogej Ksenija,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],81,2.1

805,Korenč Matevž,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],49,4.4

806,Kozjek Škofic Irena,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Praktikum iz splošne in anorganske kemije'],57,2.8

807,Kočar Drago,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Analizna kemija I', 'Instrumentalne metode analize']",85,4.0

808,Kočevar Marijan,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Organska kemija I', 'Organska kemija II']",25,4.3

809,Košmrlj Janez,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],8,3.0

810,Krajnc Matjaž,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],89,2.7

811,Krajnc Krištof,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Praktikum organske kemije'],49,4.7

812,Kralj Cigić Irena,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Niat'],30,1.2

813,Križaj Igor,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Struktura proteinov'],12,2.8

814,Lah Jurij,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Kemijska termodinamika'],88,3.1

815,Leban Ivan,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Splošna in anorganska kemija', 'Metodika anorganskih eksperimentov', 'Splošna kemija', 'Strukturna kemija', 'Moderne difrakcijske tehnike', 'Teoretske osnove tiskarskih procesov', 'Anorganska kemija']",65,3.3

816,Lenarčič Brigita,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Temelji biokemije'],73,2.2

817,Levec Janez,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Organska kemija'],24,2.0

818,Lubej Martiin,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],145,4.7

819,Magajna Bojan,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Matematika 1'],88,2.6

820,Maček Jadran,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Uvod v anorgansko tehnologijo'],30,2.7

821,Meden Anton,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Zgradbe in lastnosti trdnin', 'Kristalna kemija', 'Anorganska kemija', 'Splošna kemija']",197,4.0

822,Modec Barbara,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],99,2.1

823,Muševič Igor,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Fizika 1', 'Fizika 2', 'Fizika']",154,4.4

824,Novinec Marko,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Encimatika-vaje', 'Molekularne osnove ved o življenju', 'Struktura proteinov', 'Biokemija večceličnih organizmov']",99,4.6

825,Pavešić Petar,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Matematika s statistiko'],45,2.6

826,Pavko Aleksander,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Osnove inženirstva'],39,3.6

827,Pavšič Miha,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Biokemijska informatika'],49,3.9

828,Petrič Andrej,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],53,3.3

829,Petriček Saša,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Anorganska sinteza', 'Splošna kemija']",45,2.7

830,Pevec Andrej,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],11,3.5

831,Pihlar Boris,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Analizna kemija II', 'Analizna kemija I']",80,3.4

832,Plazl Igor,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],70,2.4

833,Podlipnik Črtomir,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],18,4.5

834,Polanc Slovenko,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],38,4.6

835,Pompe Matevž,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Instrumentalne metode analize', 'Instrumentalna analiza']",75,1.7

836,Požgan-ferenc Franc,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Sintezna organska kemija'],62,3.1

837,Reščič Jurij,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Uporaba numeričnih metod v kemiji', 'Instrumentalne metode']",2,4.5

838,Rogelj Boris,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Molekularna humana genetika'],2,4.0

839,Ručigaj Aleš,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],6,5.0

840,Stanovnik Branko,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],3,3.7

841,Susič Robert,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Analizna 1 - vaje'],78,2.3

842,Svete Jurij,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Organska kemija III'],48,3.9

843,Tomšič Matija,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Instrumentalne metode'],34,2.0

844,Tratar - Pirc Elizabeta,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Praktikum iz splošne in anorganske kemije'],126,4.6

845,Turk Dušan,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Struktura proteinov'],9,2.1

846,Urbič Tomaz,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Struktura atomov in molekul'],59,3.1

847,Vesnaver Gorazd,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Fizikalna kemija'],26,4.3

848,Vlachy Vojeslav,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],16,2.1

849,Vrtačnik Metka,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Metodika organskih eksperimentov', 'Metodologija kemijskega izobraževanja']",14,2.0

850,Wissiak Katarina,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],47,1.4

851,Zorko Andrej,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],13,2.4

852,Zupan Marko,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Bioorganska kemija'],17,3.6

853,Zupan Klementina,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],17,2.8

854,Čelan Korošin Nataša,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],50,2.7

855,Škarabot Miha,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Fizika 1 - vaje'],109,4.6

856,Šket Boris,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,['Organska kemija'],54,2.6

857,Štefane Bogdan,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],27,1.3

858,Žgajnar Gotvajn Andreja,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],51,3.2

859,Žnidaršič Plazl Polona,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,"['Biotransformacije', 'Bioprocesno inženirstvo']",102,2.0

860,Župunski Vera,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],4,5.0

861,Kolar Mitja,Fakulteta za kemijo in kemijsko tehnologijo,Univerza v Ljubljani,[''],10,3.2

862,Alojzij Kodre Franc,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,"['Matematična fizika II', 'Modelska analiza', 'Računalniška orodja v fiziki']",156,4.0

863,Anžiček Jasmin,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,[''],130,4.9

864,Arčon Denis,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,"['Proseminar a', 'Fizika 1']",143,4.6

865,Azarija Jernej,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,[''],16,4.7

866,Babič Dušan,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,"['Fizikalni praktikum 5', 'Optika', 'Klasična mehanika']",107,3.7

867,Barbara Drinovec Drnovšek,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,[''],8,3.5

868,Batagelj Vladimir,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,"['Učenje z računalnikom', 'Optimizacijske metode']",76,2.7

869,Bauer Andrej,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,"['Teorija programskih jezikov', 'Logika in množice', 'Programiranje 1', 'Programiranje 2', 'Osnove podatkovnih baz', 'Programska oprema pri pouku', 'Logika', 'Računalništvo', 'Računalniški praktikum']",342,4.6

870,Bašić Nino,Fakulteta za matematiko in fiziko,Univerza v Ljubljani,"['Uvod v programiranje', 'Programiranje 1', 'Računalništvo', 'Sodobni trendi v izobraževanju matematike', 'Operacijske raziskave', 'Računalniški praktikum', 'Računalniška orodja v matematiki', 'Računalništvo 1', 'Podatkovne baze']",50,4.8

